text,sentiment,Time of Tweet,Age of User,Land Area (Km²),Continent,Density_Level,Population_Group
 Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive,night,70-100,810.0,OC,Medium,Low
 SWEEEEET - San Fran is awesome!!!!  Love it there,positive,morning,0-20,17820.0,AS,Medium,Medium
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative,morning,46-60,62200.0,EU,Low,Medium
Happy Mothers day to all you Mums out there,positive,night,70-100,30360.0,AF,Low,Medium
" CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative,morning,0-20,96320.0,AF,Low,Medium
 hemp cloth is marvelous but unfortunately no,negative,noon,21-30,1759540.0,AF,Low,Medium
 We saw that in none 3D - the baddie`s the best,positive,morning,46-60,62700.0,EU,Low,Medium
4am. And Im on the beach. Pretty,positive,noon,60-70,2590.0,EU,Medium,Low
"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative,morning,0-20,94280.0,AF,Medium,Medium
i realy wanted to go out cause its so nice but everybodys busy,negative,noon,21-30,328550.0,AS,Low,Medium
 Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive,night,31-45,300.0,AS,High,Low
 haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive,night,70-100,180.0,OC,Medium,Low
 have a safe trip joshy poo.......you`ll knock them dead at your speech,positive,morning,0-20,1030700.0,AF,Low,Medium
" woof, I wish I was allowed to go",positive,noon,21-30,2030.0,AF,High,Medium
"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive,noon,60-70,32850.0,EU,Medium,Medium
"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive,morning,0-20,1553560.0,AS,Low,Medium
So many tests todayyy  I don`t feel confident about anyy.,negative,noon,21-30,13450.0,EU,Low,Low
graduation is done  im a little sad.. anyone want to hang out???,negative,night,31-45,446300.0,AF,Low,Medium
 hahaa your awesomee !,positive,morning,46-60,786380.0,AF,Low,Medium
holy smokes! star trek was freaking awesomeeeee,positive,noon,60-70,653290.0,Other,Low,Medium
"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative,night,31-45,33720.0,EU,High,Medium
" Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative,morning,46-60,263310.0,OC,Low,Medium
not well,negative,noon,60-70,120340.0,NA,Low,Medium
 Not a prob hun,positive,night,70-100,1266700.0,AF,Low,Medium
 hey mia!  totally adore your music.  when will your cd be out?,positive,morning,46-60,365000.0,EU,Low,Medium
"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive,noon,60-70,309500.0,AS,Low,Medium
 =O you need to ask him something? Lmao I love him too,positive,night,70-100,770880.0,AS,Medium,High
 those splinters look very painful...but you were being very heroic saving mr. Pickle,negative,morning,0-20,460.0,OC,Low,Low
 why are you sad?,negative,noon,21-30,6020.0,Other,High,Medium
 Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive,night,31-45,74340.0,NA,Low,Medium
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive,morning,46-60,452860.0,OC,Low,Medium
"missed all the awesome weather, because she was in a movie!",negative,noon,21-30,306000.0,EU,Medium,Medium
"These kids are terrible! If I was in Good Evans, I`d call Childline",negative,morning,46-60,11610.0,AS,Medium,Medium
"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative,noon,60-70,230170.0,EU,Low,Medium
" What`s sad is that I actually had to google that term. That sucks, tho.",negative,night,70-100,16376870.0,EU,Low,High
Hate fighting,negative,morning,0-20,24670.0,AF,High,Medium
Car-warmed Sprite tastes like sore throat,negative,night,31-45,610.0,NA,Medium,Low
Candle wax is very enjoyable.,positive,noon,60-70,2830.0,OC,Low,Low
" She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive,night,70-100,60.0,EU,High,Low
goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive,noon,21-30,2149690.0,AS,Low,Medium
 me too. I hate my computer so much..,negative,night,31-45,192530.0,AF,Low,Medium
 fine! Going to do my big walk today 20 or so miles,positive,morning,46-60,87460.0,EU,Low,Medium
I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative,noon,60-70,460.0,AF,Medium,Low
Bugger. forgot I still have washing in my machine,negative,night,31-45,20140.0,EU,Medium,Medium
"_Laurie sending love, blessings & healing thoughts to you & family  peace",positive,morning,46-60,28000.0,OC,Low,Low
My back hurts...really bad,negative,noon,60-70,627340.0,AF,Low,Medium
My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,negative,noon,21-30,610952.0,AF,Low,Medium
 Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative,morning,46-60,62710.0,AS,Medium,Medium
  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive,noon,60-70,1765048.0,AF,Low,Medium
Few Bevvies 2day in twn..great on a day off!!,positive,morning,0-20,410340.0,EU,Low,Medium
first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive,noon,21-30,39500.0,EU,Medium,Medium
 good morning,positive,night,31-45,183630.0,AS,Low,Medium
 its the best show EVER!,positive,morning,46-60,139960.0,AS,Low,Medium
URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative,noon,60-70,885800.0,AF,Low,Medium
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative,noon,21-30,54390.0,AF,Medium,Medium
 I miss my neice  can`t wait to see her bad n grown ****! Lol,negative,night,31-45,720.0,OC,Medium,Low
really hopes her car`s illness is not terminal...,negative,noon,60-70,155360.0,AF,Low,Medium
who watched X-men origins: wolverine? i totally loved it! haha,positive,noon,21-30,30.0,OC,Medium,Low
 I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive,night,31-45,199810.0,AF,Medium,Medium
 I`m sad that I missed you guys last night!,negative,morning,46-60,579320.0,EU,Low,Medium
today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative,noon,21-30,175020.0,SA,Low,Medium
lost my tooth 2day whilst i was eating gum...oww,negative,morning,46-60,12200.0,OC,Low,Low
happy 1 year! <3,positive,noon,60-70,882050.0,SA,Low,Medium
"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive,night,70-100,310070.0,AS,Medium,Medium
  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,noon,21-30,743390.0,AF,Low,Medium
I`m starving!! This diet is killing me but I can`t eat after 8pm,negative,night,31-45,386850.0,AF,Low,Medium
im soo bored...im deffo missing my music channels,negative,noon,60-70,27400.0,EU,Medium,Medium
 nite nite bday girl  have fun at concert,positive,night,70-100,2381740.0,AF,Low,Medium
should be sleeping.  lost my voice a couple day ago.,negative,night,31-45,440.0,NA,Medium,Low
http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative,morning,46-60,2736690.0,SA,Low,Medium
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative,morning,0-20,82400.0,EU,Medium,Medium
going to bed its late and I have headache,negative,noon,21-30,82658.0,AS,Medium,Medium
happy mother`s day to all moms out there...,positive,night,31-45,10010.0,NA,Low,Low
im thinking that im going to have fun tonight....and maybe some changes are coming,positive,noon,60-70,130170.0,AS,High,High
" Haha I know, I cant handle the fame!  and thank you!",positive,morning,0-20,202910.0,EU,Low,Medium
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive,night,31-45,22810.0,NA,Low,Low
 We never miss ICarly - my son has a huge crush on Miranda,positive,morning,46-60,112760.0,AF,Medium,Medium
Feeling smooth like chrome,positive,noon,21-30,566730.0,AF,Low,Medium
Ew traffic,negative,night,31-45,8358140.0,SA,Low,High
Walking to class. I hate not having a bike....especially mine.,negative,noon,21-30,318000.0,AF,Low,Medium
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative,morning,46-60,176520.0,AS,Low,Medium
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive,noon,60-70,472710.0,AF,Low,Medium
happy mother`s day to all the mothers in the world.,positive,night,70-100,9093510.0,NA,Low,Medium
"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive,morning,0-20,622980.0,AF,Low,Medium
Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive,noon,21-30,1259200.0,AF,Low,Medium
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive,morning,46-60,9388211.0,AS,Medium,High
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive,noon,60-70,1109500.0,SA,Low,Medium
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive,night,31-45,55960.0,EU,Low,Medium
 http://twitpic.com/4jaz5 - Cool... luv it,positive,night,70-100,77240.0,Other,Medium,Medium
  that`s why I need to be there...To represent the Blackberries,positive,morning,0-20,2267050.0,AF,Low,Medium
" yeah I was thinking about that ,ahaha",positive,night,70-100,248360.0,SA,Low,Medium
I`m not sleeping at all until  accepts my appology,negative,noon,21-30,20720.0,NA,Medium,Medium
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",negative,night,31-45,28050.0,AF,Low,Medium
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive,morning,0-20,1000000.0,AF,Medium,High
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative,night,31-45,304000.0,EU,Low,Medium
"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",positive,night,70-100,10120.0,AF,Medium,Medium
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative,night,31-45,227540.0,AF,Medium,Medium
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive,morning,46-60,128900.0,EU,Low,Medium
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive,morning,0-20,246000.0,AF,Low,Medium
FTSK and Mercy Mercedes were amazing tonight.. as always,positive,noon,21-30,28120.0,AF,Low,Medium
  hope he is ok!,positive,night,31-45,196850.0,SA,Low,Low
can`t school just be done already? it hurts too much... seeing him every day,positive,morning,46-60,27560.0,NA,Medium,Medium
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",positive,morning,46-60,1811570.0,AS,Medium,High
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive,noon,60-70,1630000.0,AS,Low,Medium
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive,night,70-100,434320.0,AS,Low,Medium
HAPPY MOTHERS DAY.!,positive,morning,0-20,68890.0,EU,Low,Medium
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",positive,noon,21-30,21640.0,AS,Medium,Medium
  Thanks,positive,night,31-45,294140.0,EU,Medium,Medium
Getting ready for week  Its too nice today to be stuck inside working!,positive,noon,60-70,364555.0,AS,Medium,High
I am tres depressed,negative,night,70-100,88780.0,AS,Medium,Medium
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative,morning,0-20,2699700.0,AS,Low,Medium
Happy Mothers Day people. i love my mom a lot still,positive,noon,21-30,569140.0,AF,Low,Medium
 I`m sorry to hear that.,negative,night,31-45,810.0,OC,Medium,Low
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive,morning,46-60,17820.0,AS,Medium,Medium
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive,noon,60-70,191800.0,AS,Low,Medium
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative,morning,0-20,62200.0,EU,Low,Medium
Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative,night,31-45,30360.0,AF,Low,Medium
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",negative,noon,60-70,1759540.0,AF,Low,Medium
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive,noon,21-30,2590.0,EU,Medium,Low
 what`s goin on hun?  I`m worried about you,negative,night,31-45,581795.0,AF,Low,Medium
 Im not bannished... but I am at work till 6,negative,morning,46-60,94280.0,AF,Medium,Medium
tonight in party w/ my girls (minus vita),positive,morning,0-20,1220190.0,AF,Low,Medium
" I saw the play of it here, it was amazing",positive,noon,60-70,2030.0,AF,High,Medium
 _ i am glad to break my twitter virginity with you two.,positive,night,70-100,1943950.0,NA,Low,High
Dinner with the fam... I have missed them,negative,morning,0-20,700.0,OC,Medium,Low
" I know   It was worth a shot, though!",positive,morning,46-60,1553560.0,AS,Low,Medium
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",positive,noon,60-70,13450.0,EU,Low,Low
Ship. I`m stuck.,negative,night,70-100,446300.0,AF,Low,Medium
DUSTBIN BABY ON AT 11.30 Cannot wait  x,positive,morning,0-20,786380.0,AF,Low,Medium
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",negative,noon,21-30,653290.0,Other,Low,Medium
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,negative,night,70-100,33720.0,EU,High,Medium
today is a busy day. exhausting!,negative,morning,0-20,263310.0,OC,Low,Medium
 Sorry to hear ur flight got cancelled  that blows!!!,negative,night,31-45,1266700.0,AF,Low,Medium
ohh my tooth is hurts ohh  im sad it very hurts,negative,morning,46-60,910770.0,AF,Medium,High
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive,noon,60-70,120410.0,AS,Medium,Medium
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,negative,night,70-100,25220.0,EU,Low,Medium
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive,night,31-45,770880.0,AS,Medium,High
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,negative,morning,46-60,460.0,OC,Low,Low
?sucks!?..,negative,night,70-100,74340.0,NA,Low,Medium
" doing pretty well, up and wide awake",positive,night,31-45,1280000.0,SA,Low,Medium
I Miss Daddy and Mommy,negative,noon,60-70,306000.0,EU,Medium,Medium
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",negative,night,70-100,91590.0,EU,Medium,Medium
"My frist post... Off to find a new car for my parents, exciting!",positive,noon,21-30,230170.0,EU,Low,Medium
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,negative,night,31-45,16376870.0,EU,Low,High
seriously bored without anyone to talk to... but not tired enough for sleep,negative,morning,46-60,24670.0,AF,High,Medium
 I am lost. Please help me find a good home.,negative,noon,60-70,260.0,NA,Medium,Low
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,negative,morning,0-20,390.0,NA,Medium,Low
 oh nice going!,positive,night,31-45,60.0,EU,High,Low
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,positive,noon,60-70,2149690.0,AS,Low,Medium
 i agree with you!,positive,night,70-100,192530.0,AF,Low,Medium
 I only do computers. Am hopeless at everything else,negative,morning,0-20,87460.0,EU,Low,Medium
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",positive,noon,21-30,460.0,AF,Medium,Low
_2nd aww thanks!,positive,night,31-45,72180.0,AF,Medium,Medium
 Sorry RB is on PS3 for me,negative,morning,46-60,700.0,AS,High,Medium
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,negative,night,70-100,20140.0,EU,Medium,Medium
dang last url went down  ? http://blip.fm/~7aigm,negative,morning,0-20,28000.0,OC,Low,Low
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",negative,noon,21-30,627340.0,AF,Low,Medium
 Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,negative,night,31-45,1213090.0,AF,Low,Medium
this is sooo crazy i have fever..,negative,noon,60-70,610952.0,AF,Low,Medium
is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,negative,night,70-100,498800.0,EU,Low,Medium
Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,positive,night,31-45,156000.0,SA,Low,Low
aww  you loooove me,positive,morning,46-60,410340.0,EU,Low,Medium
awesome lucky you,positive,night,70-100,183630.0,AS,Low,Medium
" haha im jewish, i love that one",positive,noon,21-30,885800.0,AF,Low,Medium
 l`m on 3 days too matt. No fun this weekend.,negative,morning,46-60,14870.0,Other,Low,Medium
 I feel your pain. Mine is the same way,negative,night,70-100,720.0,OC,Medium,Low
 Sadly no. It didn`t come with one...,negative,noon,21-30,155360.0,AF,Low,Medium
Cant wait to see my boy tomorrow,positive,night,31-45,770000.0,AS,Medium,Medium
 aww I miss driving down elmwood,negative,noon,60-70,30.0,OC,Medium,Low
Omg Wango Tango was **** AWSOME! I love my baby for taking me,positive,night,70-100,199810.0,AF,Medium,Medium
"Version 2 of our live, interactive Trans-Siberian ticket planner is launched: http://tinyurl.com/c5ljwm - its very cool",positive,morning,0-20,579320.0,EU,Low,Medium
_30439 I really wish I could go!,positive,noon,21-30,83600.0,AS,Medium,Medium
 I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,negative,morning,46-60,9147420.0,NA,Low,High
  This has made my night!!  Way too funny!!,positive,noon,60-70,175020.0,SA,Low,Medium
Woo CAVS.  Happy Mother`s Day!,positive,night,70-100,425400.0,AS,Low,Medium
 Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,positive,noon,60-70,743390.0,AF,Low,Medium
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,negative,morning,0-20,652860.0,AS,Low,Medium
"My sunburn is peeling,",negative,morning,46-60,470.0,EU,Medium,Low
Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,negative,morning,0-20,2736690.0,SA,Low,Medium
I hate the dentist,negative,noon,21-30,28470.0,AS,Medium,Medium
" nothing aimed at you, just joining in...sorry",negative,night,31-45,7682300.0,OC,Low,Medium
I`m taking a twitter break. Cell is dying,negative,morning,46-60,82400.0,EU,Medium,Medium
I wish I could get my nails done  stupid job,negative,noon,21-30,130170.0,AS,High,High
 Have a good one,positive,noon,60-70,30280.0,EU,Medium,Medium
" yep infact she is popular, miss india 99, talented film actress .... and lot more",positive,night,70-100,22810.0,NA,Low,Low
Dosen`t Want To Go To Work Tomorrow,negative,morning,0-20,112760.0,AF,Medium,Medium
Daniel has won DSDS. His voice is great.,positive,noon,21-30,38100.0,AS,Low,Low
_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,positive,noon,60-70,566730.0,AF,Low,Medium
I sure do hope it becomes 4:20 this afternoon ...,positive,night,70-100,8358140.0,SA,Low,High
 it means that you are now FAMOUS. Congrats!,positive,morning,0-20,5270.0,AS,Low,Low
My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,negative,noon,21-30,108560.0,EU,Low,Medium
"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",positive,night,31-45,273600.0,AF,Low,Medium
tamlyn wishes she was as cool as my sock draw,positive,morning,46-60,25680.0,AF,Medium,Medium
"Yes, I love tea. If that makes me typically English then so be it",positive,noon,21-30,472710.0,AF,Low,Medium
 a mouth for sure,positive,night,31-45,9093510.0,NA,Low,Medium
 pancakes!! with lemon and sugar thanks!,positive,noon,60-70,1259200.0,AF,Low,Medium
" Si, no bueno  I guess I just don`t entertain him :/",negative,night,70-100,743532.0,SA,Low,Medium
I`m so hunrgy right now and these heels kill me I can hardly walk in them,negative,morning,0-20,9388211.0,AS,Medium,High
both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,negative,noon,21-30,1109500.0,SA,Low,Medium
" Yay, three followers! Good to know more than one person in this big wide world likes fishies.",positive,night,31-45,1861.0,AF,Medium,Low
'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,negative,morning,46-60,342000.0,Other,Low,Medium
Goodmorning,positive,noon,60-70,51060.0,NA,Low,Medium
Took a shift tomorrow.    I don`t really feel like working right now.,negative,night,70-100,55960.0,EU,Low,Medium
" I love mine, too . happy motherÃ¯Â¿Â½s day to your mom , John Taylor  . much love to you, too .",positive,morning,0-20,106440.0,NA,Medium,Medium
http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,positive,night,31-45,77240.0,Other,Medium,Medium
No waterfront anymore   faccia luna and clarendon will have to do,negative,morning,46-60,2267050.0,AF,Low,Medium
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,positive,noon,60-70,42430.0,EU,Medium,Medium
Slipped up and caught the flu  feeling like poop!,negative,night,70-100,23180.0,AF,Low,Low
"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",positive,morning,0-20,750.0,NA,Low,Low
Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,negative,noon,21-30,48300.0,NA,Medium,Medium
Morning tweeple,positive,morning,0-20,101000.0,AF,Low,Medium
 Now you only have 2 hours to sleep...  - Rest if you need it.,positive,night,31-45,17200.0,Other,Low,Medium
I don`t want to sit at home on prom night. Someone hang out with me,negative,noon,60-70,18270.0,OC,Low,Low
Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,positive,night,70-100,304000.0,EU,Low,Medium
 lol dammit  well then next time then,negative,night,31-45,10120.0,AF,Medium,Medium
 lol. just don`t ever forget me,positive,morning,46-60,69490.0,AS,Low,Medium
 Still jealous,negative,noon,60-70,348560.0,EU,Medium,Medium
